emoji	signification
🏄‍♀️	Surfeuse
🏄🏻‍♀️	Surfeuse : Peau Claire
🏄🏼‍♀️	Surfeuse : Peau Moyennement Claire
🏄🏽‍♀️	Surfeuse : Peau Légèrement Mate
🏄🏾‍♀️	Surfeuse : Peau Mate
🏄🏿‍♀️	Surfeuse : Peau Foncée
🚣	Personne Ramant Dans Une Barque
🚣🏻	Personne Ramant Dans Une Barque : Peau Claire
🚣🏼	Personne Ramant Dans Une Barque : Peau Moyennement Claire
🚣🏽	Personne Ramant Dans Une Barque : Peau Légèrement Mate
🚣🏾	Personne Ramant Dans Une Barque : Peau Mate
🚣🏿	Personne Ramant Dans Une Barque : Peau Foncée
🚣‍♂️	Rameur Dans Une Barque
🚣🏻‍♂️	Rameur Dans Une Barque : Peau Claire
🚣🏼‍♂️	Rameur Dans Une Barque : Peau Moyennement Claire
🚣🏽‍♂️	Rameur Dans Une Barque : Peau Légèrement Mate
🚣🏾‍♂️	Rameur Dans Une Barque : Peau Mate
🚣🏿‍♂️	Rameur Dans Une Barque : Peau Foncée
🚣‍♀️	Rameuse Dans Une Barque
🚣🏻‍♀️	Rameuse Dans Une Barque : Peau Claire
🚣🏼‍♀️	Rameuse Dans Une Barque : Peau Moyennement Claire
🚣🏽‍♀️	Rameuse Dans Une Barque : Peau Légèrement Mate
🚣🏾‍♀️	Rameuse Dans Une Barque : Peau Mate
🚣🏿‍♀️	Rameuse Dans Une Barque : Peau Foncée
🏊	Personne Nageant
🏊🏻	Personne Nageant : Peau Claire
🏊🏼	Personne Nageant : Peau Moyennement Claire
🏊🏽	Personne Nageant : Peau Légèrement Mate
🏊🏾	Personne Nageant : Peau Mate
🏊🏿	Personne Nageant : Peau Foncée
🏊‍♂️	Nageur
🏊🏻‍♂️	Nageur : Peau Claire
🏊🏼‍♂️	Nageur : Peau Moyennement Claire
🏊🏽‍♂️	Nageur : Peau Légèrement Mate
🏊🏾‍♂️	Nageur : Peau Mate
🏊🏿‍♂️	Nageur : Peau Foncée
🏊‍♀️	Nageuse
🏊🏻‍♀️	Nageuse : Peau Claire
🏊🏼‍♀️	Nageuse : Peau Moyennement Claire
🏊🏽‍♀️	Nageuse : Peau Légèrement Mate
🏊🏾‍♀️	Nageuse : Peau Mate
🏊🏿‍♀️	Nageuse : Peau Foncée
⛹️	Personne Avec Ballon
⛹🏻	Personne Avec Ballon : Peau Claire
⛹🏼	Personne Avec Ballon : Peau Moyennement Claire
⛹🏽	Personne Avec Ballon : Peau Légèrement Mate
⛹🏾	Personne Avec Ballon : Peau Mate
⛹🏿	Personne Avec Ballon : Peau Foncée
⛹️‍♂️	Homme Avec Ballon
⛹🏻‍♂️	Homme Avec Ballon : Peau Claire
⛹🏼‍♂️	Homme Avec Ballon : Peau Moyennement Claire
⛹🏽‍♂️	Homme Avec Ballon : Peau Légèrement Mate
⛹🏾‍♂️	Homme Avec Ballon : Peau Mate
⛹🏿‍♂️	Homme Avec Ballon : Peau Foncée
⛹️‍♀️	Femme Avec Ballon
⛹🏻‍♀️	Femme Avec Ballon : Peau Claire
⛹🏼‍♀️	Femme Avec Ballon : Peau Moyennement Claire
⛹🏽‍♀️	Femme Avec Ballon : Peau Légèrement Mate
⛹🏾‍♀️	Femme Avec Ballon : Peau Mate
⛹🏿‍♀️	Femme Avec Ballon : Peau Foncée
🏋️	Haltérophile
🏋🏻	Haltérophile : Peau Claire
🏋🏼	Haltérophile : Peau Moyennement Claire
🏋🏽	Haltérophile : Peau Légèrement Mate
🏋🏾	Haltérophile : Peau Mate
🏋🏿	Haltérophile : Peau Foncée
🏋️‍♂️	Homme Haltérophile
🏋🏻‍♂️	Homme Haltérophile : Peau Claire
🏋🏼‍♂️	Homme Haltérophile : Peau Moyennement Claire
🏋🏽‍♂️	Homme Haltérophile : Peau Légèrement Mate
🏋🏾‍♂️	Homme Haltérophile : Peau Mate
🏋🏿‍♂️	Homme Haltérophile : Peau Foncée
🏋️‍♀️	Femme Haltérophile
🏋🏻‍♀️	Femme Haltérophile : Peau Claire
🏋🏼‍♀️	Femme Haltérophile : Peau Moyennement Claire
🏋🏽‍♀️	Femme Haltérophile : Peau Légèrement Mate
🏋🏾‍♀️	Femme Haltérophile : Peau Mate
🏋🏿‍♀️	Femme Haltérophile : Peau Foncée
🚴	Cycliste
🚴🏻	Cycliste : Peau Claire
🚴🏼	Cycliste : Peau Moyennement Claire
🚴🏽	Cycliste : Peau Légèrement Mate
🚴🏾	Cycliste : Peau Mate
🚴🏿	Cycliste : Peau Foncée
🚴‍♂️	Cycliste Homme
🚴🏻‍♂️	Cycliste Homme : Peau Claire
🚴🏼‍♂️	Cycliste Homme : Peau Moyennement Claire
🚴🏽‍♂️	Cycliste Homme : Peau Légèrement Mate
🚴🏾‍♂️	Cycliste Homme : Peau Mate
🚴🏿‍♂️	Cycliste Homme : Peau Foncée
🚴‍♀️	Cycliste Femme
🚴🏻‍♀️	Cycliste Femme : Peau Claire
🚴🏼‍♀️	Cycliste Femme : Peau Moyennement Claire
🚴🏽‍♀️	Cycliste Femme : Peau Légèrement Mate
🚴🏾‍♀️	Cycliste Femme : Peau Mate
🚴🏿‍♀️	Cycliste Femme : Peau Foncée
🚵	Personne En VTT
🚵🏻	Personne En VTT : Peau Claire
🚵🏼	Personne En VTT : Peau Moyennement Claire
🚵🏽	Personne En VTT : Peau Légèrement Mate
🚵🏾	Personne En VTT : Peau Mate
🚵🏿	Personne En VTT : Peau Foncée
🚵‍♂️	Homme En VTT
🚵🏻‍♂️	Homme En VTT : Peau Claire
🚵🏼‍♂️	Homme En VTT : Peau Moyennement Claire
🚵🏽‍♂️	Homme En VTT : Peau Légèrement Mate
🚵🏾‍♂️	Homme En VTT : Peau Mate
🚵🏿‍♂️	Homme En VTT : Peau Foncée
🚵‍♀️	Femme En VTT
🚵🏻‍♀️	Femme En VTT : Peau Claire
🚵🏼‍♀️	Femme En VTT : Peau Moyennement Claire
🚵🏽‍♀️	Femme En VTT : Peau Légèrement Mate
🚵🏾‍♀️	Femme En VTT : Peau Mate
🚵🏿‍♀️	Femme En VTT : Peau Foncée
🤸	Personne Faisant La Roue
🤸🏻	Personne Faisant La Roue : Peau Claire
🤸🏼	Personne Faisant La Roue : Peau Moyennement Claire
🤸🏽	Personne Faisant La Roue : Peau Légèrement Mate
🤸🏾	Personne Faisant La Roue : Peau Mate
🤸🏿	Personne Faisant La Roue : Peau Foncée
🤸‍♂️	Homme Faisant La Roue
🤸🏻‍♂️	Homme Faisant La Roue : Peau Claire
🤸🏼‍♂️	Homme Faisant La Roue : Peau Moyennement Claire
🤸🏽‍♂️	Homme Faisant La Roue : Peau Légèrement Mate
🤸🏾‍♂️	Homme Faisant La Roue : Peau Mate
🤸🏿‍♂️	Homme Faisant La Roue : Peau Foncée
🤸‍♀️	Femme Faisant La Roue
🤸🏻‍♀️	Femme Faisant La Roue : Peau Claire
🤸🏼‍♀️	Femme Faisant La Roue : Peau Moyennement Claire
🤸🏽‍♀️	Femme Faisant La Roue : Peau Légèrement Mate
🤸🏾‍♀️	Femme Faisant La Roue : Peau Mate
🤸🏿‍♀️	Femme Faisant La Roue : Peau Foncée
🤼	Personnes Faisant De La Lutte
🤼‍♂️	Lutteurs
🤼‍♀️	Lutteuses
🤽	Personne Jouant Au Water-polo
🤽🏻	Personne Jouant Au Water-polo : Peau Claire
🤽🏼	Personne Jouant Au Water-polo : Peau Moyennement Claire
🤽🏽	Personne Jouant Au Water-polo : Peau Légèrement Mate
🤽🏾	Personne Jouant Au Water-polo : Peau Mate
🤽🏿	Personne Jouant Au Water-polo : Peau Foncée
🤽‍♂️	Joueur De Water-polo
🤽🏻‍♂️	Joueur De Water-polo : Peau Claire
🤽🏼‍♂️	Joueur De Water-polo : Peau Moyennement Claire
🤽🏽‍♂️	Joueur De Water-polo : Peau Légèrement Mate
🤽🏾‍♂️	Joueur De Water-polo : Peau Mate
🤽🏿‍♂️	Joueur De Water-polo : Peau Foncée
🤽‍♀️	Joueuse De Water-polo
🤽🏻‍♀️	Joueuse De Water-polo : Peau Claire
🤽🏼‍♀️	Joueuse De Water-polo : Peau Moyennement Claire
🤽🏽‍♀️	Joueuse De Water-polo : Peau Légèrement Mate
🤽🏾‍♀️	Joueuse De Water-polo : Peau Mate
🤽🏿‍♀️	Joueuse De Water-polo : Peau Foncée
🤾	Personne Jouant Au Handball
🤾🏻	Personne Jouant Au Handball : Peau Claire
🤾🏼	Personne Jouant Au Handball : Peau Moyennement Claire
🤾🏽	Personne Jouant Au Handball : Peau Légèrement Mate
🤾🏾	Personne Jouant Au Handball : Peau Mate
🤾🏿	Personne Jouant Au Handball : Peau Foncée
🤾‍♂️	Handballeur
🤾🏻‍♂️	Handballeur : Peau Claire
🤾🏼‍♂️	Handballeur : Peau Moyennement Claire
🤾🏽‍♂️	Handballeur : Peau Légèrement Mate
🤾🏾‍♂️	Handballeur : Peau Mate
🤾🏿‍♂️	Handballeur : Peau Foncée
🤾‍♀️	Handballeuse
🤾🏻‍♀️	Handballeuse : Peau Claire
🤾🏼‍♀️	Handballeuse : Peau Moyennement Claire
🤾🏽‍♀️	Handballeuse : Peau Légèrement Mate
🤾🏾‍♀️	Handballeuse : Peau Mate
🤾🏿‍♀️	Handballeuse : Peau Foncée
🤹	Personne Qui Jongle
🤹🏻	Personne Qui Jongle : Peau Claire
🤹🏼	Personne Qui Jongle : Peau Moyennement Claire
🤹🏽	Personne Qui Jongle : Peau Légèrement Mate
🤹🏾	Personne Qui Jongle : Peau Mate
🤹🏿	Personne Qui Jongle : Peau Foncée
🤹‍♂️	Jongleur
🤹🏻‍♂️	Jongleur : Peau Claire
🤹🏼‍♂️	Jongleur : Peau Moyennement Claire
🤹🏽‍♂️	Jongleur : Peau Légèrement Mate
🤹🏾‍♂️	Jongleur : Peau Mate
🤹🏿‍♂️	Jongleur : Peau Foncée
🤹‍♀️	Jongleuse
🤹🏻‍♀️	Jongleuse : Peau Claire
🤹🏼‍♀️	Jongleuse : Peau Moyennement Claire
🤹🏽‍♀️	Jongleuse : Peau Légèrement Mate
🤹🏾‍♀️	Jongleuse : Peau Mate
🤹🏿‍♀️	Jongleuse : Peau Foncée
🧘	Personne Dans La Posture Du Lotus
🧘🏻	Personne Dans La Posture Du Lotus : Peau Claire
🧘🏼	Personne Dans La Posture Du Lotus : Peau Moyennement Claire
🧘🏽	Personne Dans La Posture Du Lotus : Peau Légèrement Mate
🧘🏾	Personne Dans La Posture Du Lotus : Peau Mate
🧘🏿	Personne Dans La Posture Du Lotus : Peau Foncée
🧘‍♂️	Homme Dans La Posture Du Lotus
🧘🏻‍♂️	Homme Dans La Posture Du Lotus : Peau Claire
🧘🏼‍♂️	Homme Dans La Posture Du Lotus : Peau Moyennement Claire
🧘🏽‍♂️	Homme Dans La Posture Du Lotus : Peau Légèrement Mate
🧘🏾‍♂️	Homme Dans La Posture Du Lotus : Peau Mate
🧘🏿‍♂️	Homme Dans La Posture Du Lotus : Peau Foncée
🧘‍♀️	Femme Dans La Posture Du Lotus
🧘🏻‍♀️	Femme Dans La Posture Du Lotus : Peau Claire
🧘🏼‍♀️	Femme Dans La Posture Du Lotus : Peau Moyennement Claire
🧘🏽‍♀️	Femme Dans La Posture Du Lotus : Peau Légèrement Mate
🧘🏾‍♀️	Femme Dans La Posture Du Lotus : Peau Mate
🧘🏿‍♀️	Femme Dans La Posture Du Lotus : Peau Foncée
🛀	Personne Prenant Un Bain
🛀🏻	Personne Prenant Un Bain : Peau Claire
🛀🏼	Personne Prenant Un Bain : Peau Moyennement Claire
🛀🏽	Personne Prenant Un Bain : Peau Légèrement Mate
🛀🏾	Personne Prenant Un Bain : Peau Mate
🛀🏿	Personne Prenant Un Bain : Peau Foncée
🛌	Personne Au Lit
🛌🏻	Personne Au Lit : Peau Claire
🛌🏼	Personne Au Lit : Peau Moyennement Claire
🛌🏽	Personne Au Lit : Peau Légèrement Mate
🛌🏾	Personne Au Lit : Peau Mate
🛌🏿	Personne Au Lit : Peau Foncée
🧑‍🤝‍🧑	Deux Personnes Se Tenant La Main
🧑🏻‍🤝‍🧑🏻	Deux Personnes Se Tenant La Main : Peau Claire
🧑🏻‍🤝‍🧑🏼	Deux Personnes Se Tenant La Main : Peau Claire Et Peau Moyennement Claire
🧑🏻‍🤝‍🧑🏽	Deux Personnes Se Tenant La Main : Peau Claire Et Peau Légèrement Mate
🧑🏻‍🤝‍🧑🏾	Deux Personnes Se Tenant La Main : Peau Claire Et Peau Mate
🧑🏻‍🤝‍🧑🏿	Deux Personnes Se Tenant La Main : Peau Claire Et Peau Foncée
🧑🏼‍🤝‍🧑🏻	Deux Personnes Se Tenant La Main : Peau Moyennement Claire Et Peau Claire
🧑🏼‍🤝‍🧑🏼	Deux Personnes Se Tenant La Main : Peau Moyennement Claire
🧑🏼‍🤝‍🧑🏽	Deux Personnes Se Tenant La Main : Peau Moyennement Claire Et Peau Légèrement Mate
🧑🏼‍🤝‍🧑🏾	Deux Personnes Se Tenant La Main : Peau Moyennement Claire Et Peau Mate
🧑🏼‍🤝‍🧑🏿	Deux Personnes Se Tenant La Main : Peau Moyennement Claire Et Peau Foncée
🧑🏽‍🤝‍🧑🏻	Deux Personnes Se Tenant La Main : Peau Légèrement Mate Et Peau Claire
🧑🏽‍🤝‍🧑🏼	Deux Personnes Se Tenant La Main : Peau Légèrement Mate Et Peau Moyennement Claire
🧑🏽‍🤝‍🧑🏽	Deux Personnes Se Tenant La Main : Peau Légèrement Mate
🧑🏽‍🤝‍🧑🏾	Deux Personnes Se Tenant La Main : Peau Légèrement Mate Et Peau Mate
🧑🏽‍🤝‍🧑🏿	Deux Personnes Se Tenant La Main : Peau Légèrement Mate Et Peau Foncée
🧑🏾‍🤝‍🧑🏻	Deux Personnes Se Tenant La Main : Peau Mate Et Peau Claire
🧑🏾‍🤝‍🧑🏼	Deux Personnes Se Tenant La Main : Peau Mate Et Peau Moyennement Claire
🧑🏾‍🤝‍🧑🏽	Deux Personnes Se Tenant La Main : Peau Mate Et Peau Légèrement Mate
🧑🏾‍🤝‍🧑🏾	Deux Personnes Se Tenant La Main : Peau Mate
🧑🏾‍🤝‍🧑🏿	Deux Personnes Se Tenant La Main : Peau Mate Et Peau Foncée
🧑🏿‍🤝‍🧑🏻	Deux Personnes Se Tenant La Main : Peau Foncée Et Peau Claire
🧑🏿‍🤝‍🧑🏼	Deux Personnes Se Tenant La Main : Peau Foncée Et Peau Moyennement Claire
🧑🏿‍🤝‍🧑🏽	Deux Personnes Se Tenant La Main : Peau Foncée Et Peau Légèrement Mate
🧑🏿‍🤝‍🧑🏾	Deux Personnes Se Tenant La Main : Peau Foncée Et Peau Mate
🧑🏿‍🤝‍🧑🏿	Deux Personnes Se Tenant La Main : Peau Foncée
👭	Deux Femmes Se Tenant La Main
👭🏻	Deux Femmes Se Tenant La Main : Peau Claire
👩🏻‍🤝‍👩🏼	Deux Femmes Se Tenant La Main : Peau Claire Et Peau Moyennement Claire
👩🏻‍🤝‍👩🏽	Deux Femmes Se Tenant La Main : Peau Claire Et Peau Légèrement Mate
👩🏻‍🤝‍👩🏾	Deux Femmes Se Tenant La Main : Peau Claire Et Peau Mate
👩🏻‍🤝‍👩🏿	Deux Femmes Se Tenant La Main : Peau Claire Et Peau Foncée
👩🏼‍🤝‍👩🏻	Deux Femmes Se Tenant La Main : Peau Moyennement Claire Et Peau Claire
👭🏼	Deux Femmes Se Tenant La Main : Peau Moyennement Claire
👩🏼‍🤝‍👩🏽	Deux Femmes Se Tenant La Main : Peau Moyennement Claire Et Peau Légèrement Mate
👩🏼‍🤝‍👩🏾	Deux Femmes Se Tenant La Main : Peau Moyennement Claire Et Peau Mate
👩🏼‍🤝‍👩🏿	Deux Femmes Se Tenant La Main : Peau Moyennement Claire Et Peau Foncée
👩🏽‍🤝‍👩🏻	Deux Femmes Se Tenant La Main : Peau Légèrement Mate Et Peau Claire
👩🏽‍🤝‍👩🏼	Deux Femmes Se Tenant La Main : Peau Légèrement Mate Et Peau Moyennement Claire
👭🏽	Deux Femmes Se Tenant La Main : Peau Légèrement Mate
👩🏽‍🤝‍👩🏾	Deux Femmes Se Tenant La Main : Peau Légèrement Mate Et Peau Mate
👩🏽‍🤝‍👩🏿	Deux Femmes Se Tenant La Main : Peau Légèrement Mate Et Peau Foncée
👩🏾‍🤝‍👩🏻	Deux Femmes Se Tenant La Main : Peau Mate Et Peau Claire
👩🏾‍🤝‍👩🏼	Deux Femmes Se Tenant La Main : Peau Mate Et Peau Moyennement Claire
👩🏾‍🤝‍👩🏽	Deux Femmes Se Tenant La Main : Peau Mate Et Peau Légèrement Mate
👭🏾	Deux Femmes Se Tenant La Main : Peau Mate
👩🏾‍🤝‍👩🏿	Deux Femmes Se Tenant La Main : Peau Mate Et Peau Foncée
👩🏿‍🤝‍👩🏻	Deux Femmes Se Tenant La Main : Peau Foncée Et Peau Claire
👩🏿‍🤝‍👩🏼	Deux Femmes Se Tenant La Main : Peau Foncée Et Peau Moyennement Claire
👩🏿‍🤝‍👩🏽	Deux Femmes Se Tenant La Main : Peau Foncée Et Peau Légèrement Mate
👩🏿‍🤝‍👩🏾	Deux Femmes Se Tenant La Main : Peau Foncée Et Peau Mate
👭🏿	Deux Femmes Se Tenant La Main : Peau Foncée
👫	Femme Et Homme Se Tenant La Main
👫🏻	Femme Et Homme Se Tenant La Main : Peau Claire
👩🏻‍🤝‍👨🏼	Femme Et Homme Se Tenant La Main : Peau Claire Et Peau Moyennement Claire
👩🏻‍🤝‍👨🏽	Femme Et Homme Se Tenant La Main : Peau Claire Et Peau Légèrement Mate
👩🏻‍🤝‍👨🏾	Femme Et Homme Se Tenant La Main : Peau Claire Et Peau Mate
👩🏻‍🤝‍👨🏿	Femme Et Homme Se Tenant La Main : Peau Claire Et Peau Foncée
👩🏼‍🤝‍👨🏻	Femme Et Homme Se Tenant La Main : Peau Moyennement Claire Et Peau Claire
👫🏼	Femme Et Homme Se Tenant La Main : Peau Moyennement Claire
👩🏼‍🤝‍👨🏽	Femme Et Homme Se Tenant La Main : Peau Moyennement Claire Et Peau Légèrement Mate
👩🏼‍🤝‍👨🏾	Femme Et Homme Se Tenant La Main : Peau Moyennement Claire Et Peau Mate
👩🏼‍🤝‍👨🏿	Femme Et Homme Se Tenant La Main : Peau Moyennement Claire Et Peau Foncée
👩🏽‍🤝‍👨🏻	Femme Et Homme Se Tenant La Main : Peau Légèrement Mate Et Peau Claire
👩🏽‍🤝‍👨🏼	Femme Et Homme Se Tenant La Main : Peau Légèrement Mate Et Peau Moyennement Claire
👫🏽	Femme Et Homme Se Tenant La Main : Peau Légèrement Mate
👩🏽‍🤝‍👨🏾	Femme Et Homme Se Tenant La Main : Peau Légèrement Mate Et Peau Mate
👩🏽‍🤝‍👨🏿	Femme Et Homme Se Tenant La Main : Peau Légèrement Mate Et Peau Foncée
👩🏾‍🤝‍👨🏻	Femme Et Homme Se Tenant La Main : Peau Mate Et Peau Claire
👩🏾‍🤝‍👨🏼	Femme Et Homme Se Tenant La Main : Peau Mate Et Peau Moyennement Claire
👩🏾‍🤝‍👨🏽	Femme Et Homme Se Tenant La Main : Peau Mate Et Peau Légèrement Mate
👫🏾	Femme Et Homme Se Tenant La Main : Peau Mate
👩🏾‍🤝‍👨🏿	Femme Et Homme Se Tenant La Main : Peau Mate Et Peau Foncée
👩🏿‍🤝‍👨🏻	Femme Et Homme Se Tenant La Main : Peau Foncée Et Peau Claire
👩🏿‍🤝‍👨🏼	Femme Et Homme Se Tenant La Main : Peau Foncée Et Peau Moyennement Claire
👩🏿‍🤝‍👨🏽	Femme Et Homme Se Tenant La Main : Peau Foncée Et Peau Légèrement Mate
👩🏿‍🤝‍👨🏾	Femme Et Homme Se Tenant La Main : Peau Foncée Et Peau Mate
👫🏿	Femme Et Homme Se Tenant La Main : Peau Foncée
👬	Deux Hommes Se Tenant La Main
👬🏻	Deux Hommes Se Tenant La Main : Peau Claire
👨🏻‍🤝‍👨🏼	Deux Hommes Se Tenant La Main : Peau Claire Et Peau Moyennement Claire
👨🏻‍🤝‍👨🏽	Deux Hommes Se Tenant La Main : Peau Claire Et Peau Légèrement Mate
👨🏻‍🤝‍👨🏾	Deux Hommes Se Tenant La Main : Peau Claire Et Peau Mate
👨🏻‍🤝‍👨🏿	Deux Hommes Se Tenant La Main : Peau Claire Et Peau Foncée
👨🏼‍🤝‍👨🏻	Deux Hommes Se Tenant La Main : Peau Moyennement Claire Et Peau Claire
👬🏼	Deux Hommes Se Tenant La Main : Peau Moyennement Claire
👨🏼‍🤝‍👨🏽	Deux Hommes Se Tenant La Main : Peau Moyennement Claire Et Peau Légèrement Mate
👨🏼‍🤝‍👨🏾	Deux Hommes Se Tenant La Main : Peau Moyennement Claire Et Peau Mate
👨🏼‍🤝‍👨🏿	Deux Hommes Se Tenant La Main : Peau Moyennement Claire Et Peau Foncée
👨🏽‍🤝‍👨🏻	Deux Hommes Se Tenant La Main : Peau Légèrement Mate Et Peau Claire
👨🏽‍🤝‍👨🏼	Deux Hommes Se Tenant La Main : Peau Légèrement Mate Et Peau Moyennement Claire
👬🏽	Deux Hommes Se Tenant La Main : Peau Légèrement Mate
👨🏽‍🤝‍👨🏾	Deux Hommes Se Tenant La Main : Peau Légèrement Mate Et Peau Mate
👨🏽‍🤝‍👨🏿	Deux Hommes Se Tenant La Main : Peau Légèrement Mate Et Peau Foncée
👨🏾‍🤝‍👨🏻	Deux Hommes Se Tenant La Main : Peau Mate Et Peau Claire
👨🏾‍🤝‍👨🏼	Deux Hommes Se Tenant La Main : Peau Mate Et Peau Moyennement Claire
👨🏾‍🤝‍👨🏽	Deux Hommes Se Tenant La Main : Peau Mate Et Peau Légèrement Mate
👬🏾	Deux Hommes Se Tenant La Main : Peau Mate
👨🏾‍🤝‍👨🏿	Deux Hommes Se Tenant La Main : Peau Mate Et Peau Foncée
👨🏿‍🤝‍👨🏻	Deux Hommes Se Tenant La Main : Peau Foncée Et Peau Claire
👨🏿‍🤝‍👨🏼	Deux Hommes Se Tenant La Main : Peau Foncée Et Peau Moyennement Claire
👨🏿‍🤝‍👨🏽	Deux Hommes Se Tenant La Main : Peau Foncée Et Peau Légèrement Mate
👨🏿‍🤝‍👨🏾	Deux Hommes Se Tenant La Main : Peau Foncée Et Peau Mate
👬🏿	Deux Hommes Se Tenant La Main : Peau Foncée
💏	Bisou
👩‍❤️‍💋‍👨	Bisou : Femme Et Homme
👨‍❤️‍💋‍👨	Bisou : Homme Et Homme
👩‍❤️‍💋‍👩	Bisou : Femme Et Femme
💑	Couple Avec Cœur
👩‍❤️‍👨	Couple Avec Cœur : Femme Et Homme
👨‍❤️‍👨	Couple Avec Cœur : Homme Et Homme
👩‍❤️‍👩	Couple Avec Cœur : Femme Et Femme
👪	Famille
👨‍👩‍👦	Famille : Homme, Femme Et Garçon
👨‍👩‍👧	Famille : Homme, Femme Et Fille
👨‍👩‍👧‍👦	Famille : Homme, Femme, Fille Et Garçon
👨‍👩‍👦‍👦	Famille : Homme, Femme, Garçon Et Garçon
👨‍👩‍👧‍👧	Famille : Homme, Femme, Fille Et Fille
👨‍👨‍👦	Famille : Homme, Homme Et Garçon
👨‍👨‍👧	Famille : Homme, Homme Et Fille
👨‍👨‍👧‍👦	Famille : Homme, Homme, Fille Et Garçon
👨‍👨‍👦‍👦	Famille : Homme, Homme, Garçon Et Garçon
👨‍👨‍👧‍👧	Famille : Homme, Homme, Fille Et Fille
👩‍👩‍👦	Famille : Femme, Femme Et Garçon
👩‍👩‍👧	Famille : Femme, Femme Et Fille
👩‍👩‍👧‍👦	Famille : Femme, Femme, Fille Et Garçon
👩‍👩‍👦‍👦	Famille : Femme, Femme, Garçon Et Garçon
👩‍👩‍👧‍👧	Famille : Femme, Femme, Fille Et Fille
👨‍👦	Famille : Homme Et Garçon
👨‍👦‍👦	Famille : Homme, Garçon Et Garçon
👨‍👧	Famille : Homme Et Fille
👨‍👧‍👦	Famille : Homme, Fille Et Garçon
👨‍👧‍👧	Famille : Homme, Fille Et Fille
👩‍👦	Famille : Femme Et Garçon
👩‍👦‍👦	Famille : Femme, Garçon Et Garçon
👩‍👧	Famille : Femme Et Fille
👩‍👧‍👦	Famille : Femme, Fille Et Garçon
👩‍👧‍👧	Famille : Femme, Fille Et Fille
🗣️	Tête Qui Parle
👤	Silhouette De Buste
👥	Silhouettes De Bustes
🫂	étreinte
👣	Traces De Pas
🏻	Peau Claire
🏼	Peau Moyennement Claire
🏽	Peau Légèrement Mate
🏾	Peau Mate
🏿	Peau Foncée
🦰	Cheveux Roux
🦱	Cheveux Bouclés
🦳	Cheveux Blancs
🦲	Chauve
🐵	Tête De Singe
🐒	Singe
🦍	Gorille
🦧	Orang-outan
🐶	Tête De Chien
🐕	Chien
🦮	Chien Guide
🐕‍🦺	Chien D’assistance
🐩	Caniche
🐺	Loup
🦊	Renard
🦝	Raton Laveur
🐱	Tête De Chat
🐈	Chat
🐈‍⬛	Chat Noir
🦁	Tête De Lion
🐯	Tête De Tigre
🐅	Tigre
🐆	Léopard
🐴	Tête De Cheval
🐎	Cheval
🦄	Licorne
🦓	Zèbre
🦌	Cerf
🦬	Bison
🐮	Tête De Vache
🐂	Bœuf
🐃	Buffle
🐄	Vache
🐷	Tête De Cochon
🐖	Cochon
🐗	Sanglier
🐽	Groin
🐏	Bélier
🐑	Mouton
🐐	Chèvre
🐪	Dromadaire
🐫	Chameau
🦙	Lama
🦒	Girafe
🐘	éléphant
🦣	Mammouth
🦏	Rhinocéros
🦛	Hippopotame
🐭	Tête De Souris
🐁	Souris
🐀	Rat
🐹	Hamster
🐰	Tête De Lapin
🐇	Lapin
🐿️	écureuil
🦫	Castor
🦔	Hérisson
🦇	Chauve-souris
🐻	Ours
🐻‍❄️	Ours Polaire
🐨	Koala
🐼	Panda
🦥	Paresseux
🦦	Loutre
🦨	Mouffette
🦘	Kangourou
🦡	Blaireau
🐾	Empreintes D’animaux
🦃	Dindon
🐔	Poule
🐓	Coq
🐣	Poussin Qui éclôt
🐤	Poussin
🐥	Poussin De Face
🐦	Oiseau
🐧	Pingouin
🕊️	Colombe
🦅	Aigle
🦆	Canard
🦢	Cygne
🦉	Chouette
🦤	Dodo
🪶	Plume
🦩	Flamant
🦚	Paon
🦜	Perroquet
🐸	Grenouille
🐊	Crocodile
🐢	Tortue
🦎	Lézard
🐍	Serpent
🐲	Tête De Dragon
🐉	Dragon
🦕	Sauropode
🦖	T-Rex
🐳	Baleine Soufflant Par Son évent
🐋	Baleine
🐬	Dauphin
🦭	Phoque
🐟	Poisson
🐠	Poisson Tropical
🐡	Poisson-lune
🦈	Requin
🐙	Pieuvre
🐚	Coquille En Spirale
🐌	Escargot
🦋	Papillon
🐛	Chenille
🐜	Fourmi
🐝	Abeille
🪲	Scarabée
🐞	Coccinelle
🦗	Criquet
🪳	Cafard
🕷️	Araignée
🕸️	Toile D’araignée
🦂	Scorpion
🦟	Moustique
🪰	Mouche
🪱	Lombric
🦠	Microbe
💐	Bouquet
🌸	Fleur De Cerisier
💮	Fleur Blanche
🏵️	Rosette
🌹	Rose
🥀	Fleur Fanée
🌺	Hibiscus
🌻	Tournesol
🌼	Bourgeon
🌷	Tulipe
🌱	Jeune Pousse
🪴	Plante En Pot
🌲	Conifère
🌳	Arbre à Feuilles Caduques
🌴	Palmier
🌵	Cactus
🌾	Plant De Riz
🌿	Feuille
☘️	Trèfle
🍀	Trèfle à Quatre Feuilles
🍁	Feuille D’érable
🍂	Feuille Morte
🍃	Feuille Virevoltante
🍇	Raisin
🍈	Melon
🍉	Pastèque
🍊	Mandarine
🍋	Citron
🍌	Banane
🍍	Ananas
🥭	Mangue
🍎	Pomme Rouge
🍏	Pomme Verte
🍐	Poire
