emoji	signification
🤲🏿	Paume Contre Paume Doigts Vers Le Haut : Peau Foncée
🤝	Poignée De Main
🙏	Mains En Prière
🙏🏻	Mains En Prière : Peau Claire
🙏🏼	Mains En Prière : Peau Moyennement Claire
🙏🏽	Mains En Prière : Peau Légèrement Mate
🙏🏾	Mains En Prière : Peau Mate
🙏🏿	Mains En Prière : Peau Foncée
✍️	Main Qui écrit
✍🏻	Main Qui écrit : Peau Claire
✍🏼	Main Qui écrit : Peau Moyennement Claire
✍🏽	Main Qui écrit : Peau Légèrement Mate
✍🏾	Main Qui écrit : Peau Mate
✍🏿	Main Qui écrit : Peau Foncée
💅	Vernis à Ongles
💅🏻	Vernis à Ongles : Peau Claire
💅🏼	Vernis à Ongles : Peau Moyennement Claire
💅🏽	Vernis à Ongles : Peau Légèrement Mate
💅🏾	Vernis à Ongles : Peau Mate
💅🏿	Vernis à Ongles : Peau Foncée
🤳	Selfie
🤳🏻	Selfie : Peau Claire
🤳🏼	Selfie : Peau Moyennement Claire
🤳🏽	Selfie : Peau Légèrement Mate
🤳🏾	Selfie : Peau Mate
🤳🏿	Selfie : Peau Foncée
💪	Biceps Contracté
💪🏻	Biceps Contracté : Peau Claire
💪🏼	Biceps Contracté : Peau Moyennement Claire
💪🏽	Biceps Contracté : Peau Légèrement Mate
💪🏾	Biceps Contracté : Peau Mate
💪🏿	Biceps Contracté : Peau Foncée
🦾	Bras Mécanique
🦿	Jambe Mécanique
🦵	Jambe
🦵🏻	Jambe : Peau Claire
🦵🏼	Jambe : Peau Moyennement Claire
🦵🏽	Jambe : Peau Légèrement Mate
🦵🏾	Jambe : Peau Mate
🦵🏿	Jambe : Peau Foncée
🦶	Pied
🦶🏻	Pied : Peau Claire
🦶🏼	Pied : Peau Moyennement Claire
🦶🏽	Pied : Peau Légèrement Mate
🦶🏾	Pied : Peau Mate
🦶🏿	Pied : Peau Foncée
👂	Oreille
👂🏻	Oreille : Peau Claire
👂🏼	Oreille : Peau Moyennement Claire
👂🏽	Oreille : Peau Légèrement Mate
👂🏾	Oreille : Peau Mate
👂🏿	Oreille : Peau Foncée
🦻	Oreille Appareillée
🦻🏻	Oreille Appareillée : Peau Claire
🦻🏼	Oreille Appareillée : Peau Moyennement Claire
🦻🏽	Oreille Appareillée : Peau Légèrement Mate
🦻🏾	Oreille Appareillée : Peau Mate
🦻🏿	Oreille Appareillée : Peau Foncée
👃	Nez
👃🏻	Nez : Peau Claire
👃🏼	Nez : Peau Moyennement Claire
👃🏽	Nez : Peau Légèrement Mate
👃🏾	Nez : Peau Mate
👃🏿	Nez : Peau Foncée
🧠	Cerveau
🫀	Cœur
🫁	Poumons
🦷	Dent
🦴	Os
👀	Yeux
👁️	œil
👅	Langue
👄	Bouche
👶	Bébé
👶🏻	Bébé : Peau Claire
👶🏼	Bébé : Peau Moyennement Claire
👶🏽	Bébé : Peau Légèrement Mate
👶🏾	Bébé : Peau Mate
👶🏿	Bébé : Peau Foncée
🧒	Enfant
🧒🏻	Enfant : Peau Claire
🧒🏼	Enfant : Peau Moyennement Claire
🧒🏽	Enfant : Peau Légèrement Mate
🧒🏾	Enfant : Peau Mate
🧒🏿	Enfant : Peau Foncée
👦	Garçon
👦🏻	Garçon : Peau Claire
👦🏼	Garçon : Peau Moyennement Claire
👦🏽	Garçon : Peau Légèrement Mate
👦🏾	Garçon : Peau Mate
👦🏿	Garçon : Peau Foncée
👧	Fille
👧🏻	Fille : Peau Claire
👧🏼	Fille : Peau Moyennement Claire
👧🏽	Fille : Peau Légèrement Mate
👧🏾	Fille : Peau Mate
👧🏿	Fille : Peau Foncée
🧑	Adulte
🧑🏻	Adulte : Peau Claire
🧑🏼	Adulte : Peau Moyennement Claire
🧑🏽	Adulte : Peau Légèrement Mate
🧑🏾	Adulte : Peau Mate
🧑🏿	Adulte : Peau Foncée
👱	Personne Blonde
👱🏻	Personne Blonde : Peau Claire
👱🏼	Personne Blonde : Peau Moyennement Claire
👱🏽	Personne Blonde : Peau Légèrement Mate
👱🏾	Personne Blonde : Peau Mate
👱🏿	Personne Blonde : Peau Foncée
👨	Homme
👨🏻	Homme : Peau Claire
👨🏼	Homme : Peau Moyennement Claire
👨🏽	Homme : Peau Légèrement Mate
👨🏾	Homme : Peau Mate
👨🏿	Homme : Peau Foncée
🧔	Homme Barbu
🧔🏻	Homme Barbu : Peau Claire
🧔🏼	Homme Barbu : Peau Moyennement Claire
🧔🏽	Homme Barbu : Peau Légèrement Mate
🧔🏾	Homme Barbu : Peau Mate
🧔🏿	Homme Barbu : Peau Foncée
👨‍🦰	Homme : Cheveux Roux
👨🏻‍🦰	Homme : Peau Claire Et Cheveux Roux
👨🏼‍🦰	Homme : Peau Moyennement Claire Et Cheveux Roux
👨🏽‍🦰	Homme : Peau Légèrement Mate Et Cheveux Roux
👨🏾‍🦰	Homme : Peau Mate Et Cheveux Roux
👨🏿‍🦰	Homme : Peau Foncée Et Cheveux Roux
👨‍🦱	Homme : Cheveux Bouclés
👨🏻‍🦱	Homme : Peau Claire Et Cheveux Bouclés
👨🏼‍🦱	Homme : Peau Moyennement Claire Et Cheveux Bouclés
👨🏽‍🦱	Homme : Peau Légèrement Mate Et Cheveux Bouclés
👨🏾‍🦱	Homme : Peau Mate Et Cheveux Bouclés
👨🏿‍🦱	Homme : Peau Foncée Et Cheveux Bouclés
👨‍🦳	Homme : Cheveux Blancs
👨🏻‍🦳	Homme : Peau Claire Et Cheveux Blancs
👨🏼‍🦳	Homme : Peau Moyennement Claire Et Cheveux Blancs
👨🏽‍🦳	Homme : Peau Légèrement Mate Et Cheveux Blancs
👨🏾‍🦳	Homme : Peau Mate Et Cheveux Blancs
👨🏿‍🦳	Homme : Peau Foncée Et Cheveux Blancs
👨‍🦲	Homme : Chauve
👨🏻‍🦲	Homme : Peau Claire Et Chauve
👨🏼‍🦲	Homme : Peau Moyennement Claire Et Chauve
👨🏽‍🦲	Homme : Peau Légèrement Mate Et Chauve
👨🏾‍🦲	Homme : Peau Mate Et Chauve
👨🏿‍🦲	Homme : Peau Foncée Et Chauve
👩	Femme
👩🏻	Femme : Peau Claire
👩🏼	Femme : Peau Moyennement Claire
👩🏽	Femme : Peau Légèrement Mate
👩🏾	Femme : Peau Mate
👩🏿	Femme : Peau Foncée
👩‍🦰	Femme : Cheveux Roux
👩🏻‍🦰	Femme : Peau Claire Et Cheveux Roux
👩🏼‍🦰	Femme : Peau Moyennement Claire Et Cheveux Roux
👩🏽‍🦰	Femme : Peau Légèrement Mate Et Cheveux Roux
👩🏾‍🦰	Femme : Peau Mate Et Cheveux Roux
👩🏿‍🦰	Femme : Peau Foncée Et Cheveux Roux
🧑‍🦰	Adulte : Cheveux Roux
🧑🏻‍🦰	Adulte : Peau Claire Et Cheveux Roux
🧑🏼‍🦰	Adulte : Peau Moyennement Claire Et Cheveux Roux
🧑🏽‍🦰	Adulte : Peau Légèrement Mate Et Cheveux Roux
🧑🏾‍🦰	Adulte : Peau Mate Et Cheveux Roux
🧑🏿‍🦰	Adulte : Peau Foncée Et Cheveux Roux
👩‍🦱	Femme : Cheveux Bouclés
👩🏻‍🦱	Femme : Peau Claire Et Cheveux Bouclés
👩🏼‍🦱	Femme : Peau Moyennement Claire Et Cheveux Bouclés
👩🏽‍🦱	Femme : Peau Légèrement Mate Et Cheveux Bouclés
👩🏾‍🦱	Femme : Peau Mate Et Cheveux Bouclés
👩🏿‍🦱	Femme : Peau Foncée Et Cheveux Bouclés
🧑‍🦱	Adulte : Cheveux Bouclés
🧑🏻‍🦱	Adulte : Peau Claire Et Cheveux Bouclés
🧑🏼‍🦱	Adulte : Peau Moyennement Claire Et Cheveux Bouclés
🧑🏽‍🦱	Adulte : Peau Légèrement Mate Et Cheveux Bouclés
🧑🏾‍🦱	Adulte : Peau Mate Et Cheveux Bouclés
🧑🏿‍🦱	Adulte : Peau Foncée Et Cheveux Bouclés
👩‍🦳	Femme : Cheveux Blancs
👩🏻‍🦳	Femme : Peau Claire Et Cheveux Blancs
👩🏼‍🦳	Femme : Peau Moyennement Claire Et Cheveux Blancs
👩🏽‍🦳	Femme : Peau Légèrement Mate Et Cheveux Blancs
👩🏾‍🦳	Femme : Peau Mate Et Cheveux Blancs
👩🏿‍🦳	Femme : Peau Foncée Et Cheveux Blancs
🧑‍🦳	Adulte : Cheveux Blancs
🧑🏻‍🦳	Adulte : Peau Claire Et Cheveux Blancs
🧑🏼‍🦳	Adulte : Peau Moyennement Claire Et Cheveux Blancs
🧑🏽‍🦳	Adulte : Peau Légèrement Mate Et Cheveux Blancs
🧑🏾‍🦳	Adulte : Peau Mate Et Cheveux Blancs
🧑🏿‍🦳	Adulte : Peau Foncée Et Cheveux Blancs
👩‍🦲	Femme : Chauve
👩🏻‍🦲	Femme : Peau Claire Et Chauve
👩🏼‍🦲	Femme : Peau Moyennement Claire Et Chauve
👩🏽‍🦲	Femme : Peau Légèrement Mate Et Chauve
👩🏾‍🦲	Femme : Peau Mate Et Chauve
👩🏿‍🦲	Femme : Peau Foncée Et Chauve
🧑‍🦲	Adulte : Chauve
🧑🏻‍🦲	Adulte : Peau Claire Et Chauve
🧑🏼‍🦲	Adulte : Peau Moyennement Claire Et Chauve
🧑🏽‍🦲	Adulte : Peau Légèrement Mate Et Chauve
🧑🏾‍🦲	Adulte : Peau Mate Et Chauve
🧑🏿‍🦲	Adulte : Peau Foncée Et Chauve
👱‍♀️	Femme Blonde
👱🏻‍♀️	Femme Blonde : Peau Claire
👱🏼‍♀️	Femme Blonde : Peau Moyennement Claire
👱🏽‍♀️	Femme Blonde : Peau Légèrement Mate
👱🏾‍♀️	Femme Blonde : Peau Mate
👱🏿‍♀️	Femme Blonde : Peau Foncée
👱‍♂️	Homme Blond
👱🏻‍♂️	Homme Blond : Peau Claire
👱🏼‍♂️	Homme Blond : Peau Moyennement Claire
👱🏽‍♂️	Homme Blond : Peau Légèrement Mate
👱🏾‍♂️	Homme Blond : Peau Mate
👱🏿‍♂️	Homme Blond : Peau Foncée
🧓	Personne âgée
🧓🏻	Personne âgée : Peau Claire
🧓🏼	Personne âgée : Peau Moyennement Claire
🧓🏽	Personne âgée : Peau Légèrement Mate
🧓🏾	Personne âgée : Peau Mate
🧓🏿	Personne âgée : Peau Foncée
👴	Homme âgé
👴🏻	Homme âgé : Peau Claire
👴🏼	Homme âgé : Peau Moyennement Claire
👴🏽	Homme âgé : Peau Légèrement Mate
👴🏾	Homme âgé : Peau Mate
